place_name,place_id,yr,period,index_nsa
Alaska,AK,1975,1,62.63
Alaska,AK,1975,2,64.1
Alaska,AK,1975,3,67.21
Alaska,AK,1975,4,68.54
Alaska,AK,1976,1,70.99
Alaska,AK,1976,2,73.16
Alaska,AK,1976,3,74.56
Alaska,AK,1976,4,74.27
Alaska,AK,1977,1,80.16
Alaska,AK,1977,2,78.7
Alaska,AK,1977,3,82.91
Alaska,AK,1977,4,78.16
Alaska,AK,1978,1,79.89
Alaska,AK,1978,2,86.39
Alaska,AK,1978,3,88.62
Alaska,AK,1978,4,86.27
Alaska,AK,1979,1,88.26
Alaska,AK,1979,2,99.39
Alaska,AK,1979,3,97.14
Alaska,AK,1979,4,96.59
Alaska,AK,1980,1,100.0
Alaska,AK,1980,2,83.42
Alaska,AK,1980,3,73.76
Alaska,AK,1980,4,95.13
Alaska,AK,1981,1,89.65
Alaska,AK,1981,2,108.79
Alaska,AK,1981,3,116.99
Alaska,AK,1981,4,129.86
Alaska,AK,1982,1,137.0
Alaska,AK,1982,2,132.04
Alaska,AK,1982,3,141.67
Alaska,AK,1982,4,140.79
Alaska,AK,1983,1,139.69
Alaska,AK,1983,2,141.18
Alaska,AK,1983,3,147.32
Alaska,AK,1983,4,146.91
Alaska,AK,1984,1,150.91
Alaska,AK,1984,2,148.62
Alaska,AK,1984,3,155.4
Alaska,AK,1984,4,153.48
Alaska,AK,1985,1,145.51
Alaska,AK,1985,2,146.1
Alaska,AK,1985,3,146.65
Alaska,AK,1985,4,142.67
Alaska,AK,1986,1,143.49
Alaska,AK,1986,2,145.88
Alaska,AK,1986,3,141.29
Alaska,AK,1986,4,138.01
Alaska,AK,1987,1,134.39
Alaska,AK,1987,2,125.03
Alaska,AK,1987,3,116.71
Alaska,AK,1987,4,105.69
Alaska,AK,1988,1,121.58
Alaska,AK,1988,2,116.08
Alaska,AK,1988,3,127.3
Alaska,AK,1988,4,132.88
Alaska,AK,1989,1,129.38
Alaska,AK,1989,2,105.03
Alaska,AK,1989,3,104.78
Alaska,AK,1989,4,102.67
Alaska,AK,1990,1,99.31
Alaska,AK,1990,2,113.12
Alaska,AK,1990,3,122.67
Alaska,AK,1990,4,120.7
Alaska,AK,1991,1,124.93
Alaska,AK,1991,2,128.05
Alaska,AK,1991,3,132.03
Alaska,AK,1991,4,132.11
Alaska,AK,1992,1,133.88
Alaska,AK,1992,2,135.19
Alaska,AK,1992,3,135.88
Alaska,AK,1992,4,136.41
Alaska,AK,1993,1,136.23
